Iteration	MSE
456	0.033295
457	0.033294
458	0.033293
459	0.033291
460	0.033290
461	0.033288
462	0.033287
463	0.033285
464	0.033284
465	0.033282
466	0.033281
467	0.033279
468	0.033278
469	0.033276
470	0.033275
471	0.033273
472	0.033272
473	0.033270
474	0.033269
475	0.033267
476	0.033266
477	0.033264
478	0.033263
479	0.033261
480	0.033260
481	0.033258
482	0.033257
483	0.033255
484	0.033254
485	0.033252
486	0.033251
487	0.033249
488	0.033248
489	0.033246
490	0.033245
491	0.033243
492	0.033242
493	0.033240
494	0.033239
495	0.033237
496	0.033236
497	0.033234
498	0.033233
499	0.033231
500	0.033230
501	0.033228
502	0.033227
503	0.033225
504	0.033223
505	0.033222
506	0.033220
507	0.033219
508	0.033217
509	0.033216
510	0.033214
511	0.033213
512	0.033211
513	0.033210
514	0.033208
515	0.033207
516	0.033205
517	0.033203
518	0.033202
519	0.033200
520	0.033199
521	0.033197
522	0.033196
523	0.033194
524	0.033193
525	0.033191
526	0.033189
527	0.033188
528	0.033186
529	0.033185
530	0.033183
531	0.033182
532	0.033180
533	0.033178
534	0.033177
535	0.033175
536	0.033174
537	0.033172
538	0.033171
539	0.033169
540	0.033167
541	0.033166
542	0.033164
543	0.033163
544	0.033161
545	0.033159
546	0.033158
547	0.033156
548	0.033155
549	0.033153
550	0.033151
551	0.033150
552	0.033148
553	0.033147
554	0.033145
555	0.033143
556	0.033142
557	0.033140
558	0.033139
559	0.033137
560	0.033135
561	0.033134
562	0.033132
563	0.033130
564	0.033129
565	0.033127
566	0.033126
567	0.033124
568	0.033122
569	0.033121
570	0.033119
571	0.033117
572	0.033116
573	0.033114
574	0.033113
575	0.033111
576	0.033109
577	0.033108
578	0.033106
579	0.033104
580	0.033103
581	0.033101
582	0.033099
583	0.033098
584	0.033096
585	0.033094
586	0.033093
587	0.033091
588	0.033089
589	0.033088
590	0.033086
591	0.033084
592	0.033083
593	0.033081
594	0.033079
595	0.033078
596	0.033076
597	0.033074
598	0.033073
599	0.033071
600	0.033069
601	0.033068
602	0.033066
603	0.033064
604	0.033063
605	0.033061
606	0.033059
607	0.033058
608	0.033056
609	0.033054
610	0.033052
611	0.033051
612	0.033049
613	0.033047
614	0.033046
615	0.033044
616	0.033042
617	0.033041
618	0.033039
619	0.033037
620	0.033035
621	0.033034
622	0.033032
623	0.033030
624	0.033029
625	0.033027
626	0.033025
627	0.033023
628	0.033022
629	0.033020
630	0.033018
631	0.033016
632	0.033015
633	0.033013
634	0.033011
635	0.033010
636	0.033008
637	0.033006
638	0.033004
639	0.033003
640	0.033001
641	0.032999
642	0.032997
643	0.032996
644	0.032994
645	0.032992
646	0.032990
647	0.032989
648	0.032987
649	0.032985
650	0.032983
651	0.032981
652	0.032980
653	0.032978
654	0.032976
655	0.032974
656	0.032973
657	0.032971
658	0.032969
659	0.032967
660	0.032966
661	0.032964
662	0.032962
663	0.032960
664	0.032958
665	0.032957
666	0.032955
667	0.032953
668	0.032951
669	0.032949
670	0.032948
671	0.032946
672	0.032944
673	0.032942
674	0.032940
675	0.032939
676	0.032937
677	0.032935
678	0.032933
679	0.032931
680	0.032930
681	0.032928
682	0.032926
683	0.032924
684	0.032922
685	0.032920
686	0.032919
687	0.032917
688	0.032915
689	0.032913
690	0.032911
691	0.032909
692	0.032908
693	0.032906
694	0.032904
695	0.032902
696	0.032900
697	0.032898
698	0.032896
699	0.032895
700	0.032893
701	0.032891
702	0.032889
703	0.032887
704	0.032885
705	0.032883
706	0.032882
707	0.032880
708	0.032878
709	0.032876
710	0.032874
711	0.032872
712	0.032870
713	0.032869
714	0.032867
715	0.032865
716	0.032863
717	0.032861
718	0.032859
719	0.032857
720	0.032855
721	0.032853
722	0.032852
723	0.032850
724	0.032848
